run_key,n,corr_shown,corr_hidden,copy_rate_shown,copy_rate_hidden,brier_shown,brier_hidden,d_corr,d_brier
gemini-3.1-pro-preview-run-variant-02,99.0,0.9472527096660431,0.1805778531000242,17.17171717171717,3.0303030303030303,0.09482820707070706,0.30211774747474746,0.766674856566019,-0.2072895404040404
gemini-3.1-pro-preview-run-variant-01,99.0,0.9422018320828559,0.2045437735055267,16.161616161616163,4.040404040404041,0.09602287121212122,0.289206101010101,0.7376580585773292,-0.1931832297979798
gpt-5.4-nano-2026-03-17-run-variant-01,99.0,0.7993756707702298,-0.08039401691309961,7.07070707070707,3.0303030303030303,0.12992863636363636,0.31216372727272723,0.8797696876833294,-0.18223509090909087
gemini-3.5-flash-run-variant-01,99.0,0.9484699553694955,0.22906625961740312,16.161616161616163,5.05050505050505,0.09278399847079798,0.27120204060606057,0.7194036957520924,-0.17841804213526258
gemini-3.1-flash-lite-run-variant-01,99.0,0.8776320825955801,0.28658633380940723,18.181818181818183,8.080808080808081,0.11375029002823475,0.28581418212121207,0.5910457487861729,-0.17206389209297732
minimax-m2.7-run-variant-02,99.0,0.8628154469122826,0.1775479247037862,12.121212121212121,4.040404040404041,0.10884393953373167,0.2764212222222222,0.6852675222084964,-0.16757728268849054
gpt-5-mini-2025-08-07-run-variant-01,99.0,0.8890332866744042,0.20105448114568972,8.080808080808081,2.0202020202020203,0.11484495202020202,0.2805629191919192,0.6879788055287145,-0.16571796717171722
gpt-5.4-2026-03-05-run-variant-01,99.0,0.8357629404709319,0.3355345164120704,10.1010101010101,6.0606060606060606,0.11104252525252528,0.2528510202020202,0.5002284240588615,-0.14180849494949493
claude-sonnet-4-5-20250929-run-variant-01,99.0,0.8987408712271234,0.30631066051392836,11.11111111111111,6.0606060606060606,0.1079939292929293,0.2373215757575758,0.5924302107131951,-0.1293276464646465
grok-4.20-0309-reasoning-run-variant-01,99.0,0.937936634613168,0.4060771950828956,9.090909090909092,2.0202020202020203,0.09780850505050503,0.22392020202020196,0.5318594395302725,-0.12611169696969693
claude-haiku-4-5-20251001-run-variant-01,99.0,0.8753792338900509,0.2955951273873125,8.080808080808081,3.0303030303030303,0.11455532323232322,0.23958413131313133,0.5797841065027385,-0.12502880808080813
glm-5.1-run-variant-01,60.0,0.947545298986518,0.5070572243465984,18.333333333333332,8.333333333333332,0.09075879463767887,0.2151921,0.44048807463991957,-0.12443330536232113
gemma-4-31b-it-run-variant-01,99.0,0.9172069331314219,0.35475946344763565,19.19191919191919,6.0606060606060606,0.10346670151515151,0.22779522222222218,0.5624474696837862,-0.12432852070707066
minimax-m3-run-variant-01,99.0,0.9242646508110633,0.39752518761841105,15.151515151515152,3.0303030303030303,0.10480423232323233,0.22874393939393936,0.5267394631926523,-0.12393970707070703
claude-sonnet-5-run-variant-01,99.0,0.9274613086554708,0.49845108565833646,10.1010101010101,1.0101010101010102,0.09718409090909089,0.22015959595959597,0.42901022299713437,-0.12297550505050509
gpt-5.5-2026-04-23-run-variant-01,99.0,0.9498616352295112,0.44587088685436665,13.131313131313133,3.0303030303030303,0.09301116414141414,0.21229139393939395,0.5039907483751445,-0.11928022979797981
gpt-5.4-mini-2026-03-17-run-variant-01,99.0,0.7651630226428173,0.3401858667765488,11.11111111111111,3.0303030303030303,0.1426400707070707,0.26118223232323234,0.42497715586626855,-0.11854216161616166
claude-opus-4-7-run-variant-01,99.0,0.9029352186546192,0.4881689291424854,20.2020202020202,5.05050505050505,0.1089338383838384,0.22673535353535348,0.41476628951213385,-0.11780151515151509
claude-sonnet-4-6-run-variant-03,99.0,0.9455583640754125,0.420152640684497,11.11111111111111,4.040404040404041,0.09387693434343433,0.2112838383838384,0.5254057233909155,-0.11740690404040408
kimi-k2.6-run-variant-02,99.0,0.855191871474879,0.3752246282412362,10.1010101010101,1.0101010101010102,0.11509702909090912,0.2321912626262626,0.47996724323364276,-0.11709423353535349
grok-4.20-0309-non-reasoning-run-variant-01,99.0,0.4473072422317593,0.004145324314125394,3.0303030303030303,1.0101010101010102,0.20609797979797984,0.3225333434343434,0.44316191791763393,-0.11643536363636359
