due,source,id,mkt_due,out,freeze,gamma,b_freeze
2024-07-21,infer,1285,0.0163,0.0,0.0186,0.00026568999999999996,0.0003459599999999999
2024-07-21,infer,1286,0.0292,0.0,0.0317,0.00085264,0.00100489
2024-07-21,infer,1290,0.0209,0.0,0.0248,0.00043680999999999993,0.00061504
2024-07-21,infer,1342,0.0088,0.0,0.0108,7.744e-05,0.00011664000000000001
2024-07-21,infer,1353,0.4943,0.0,0.5057,0.24433249,0.25573249000000003
2024-07-21,infer,1363,0.0193,0.0,0.0201,0.00037249000000000006,0.00040401
2024-07-21,infer,1364,0.08,0.0,0.0831,0.0064,0.006905609999999999
2024-07-21,infer,1373,0.7474,0.0,0.7547,0.55860676,0.5695720900000001
2024-07-21,infer,1374,0.7568,1.0,0.7684000000000001,0.05914623999999999,0.05363855999999996
2024-07-21,infer,1386,0.6097,0.0,0.6089,0.37173409,0.37075921
2024-07-21,infer,1399,0.9693,1.0,0.971,0.0009424899999999969,0.0008410000000000015
2024-07-21,infer,1413,0.0064,0.0,0.0061,4.096e-05,3.7210000000000005e-05
2024-07-21,infer,1414,0.2033,0.0,0.3384,0.04133089,0.11451455999999999
2024-07-21,manifold,0750nMx1Fqq4CWdoBHdX,0.0764895587,0.0,0.096586061373108,0.005850652590120746,0.009328867251569785
2024-07-21,manifold,0m2HGw8Pd4ZTIgga0Pzv,0.1141676893,0.0,0.131185906308083,0.013034261280101335,0.01720974201387313
2024-07-21,manifold,0yVJeShTMcm0FA8UrcCL,0.5824358512,0.0,0.582435851164092,0.3392315207630685,0.33923152072124035
2024-07-21,manifold,2ZLAoe3EAFVhcFAXXfPp,0.1507833737,0.0,0.150783373650064,0.02273562578435385,0.022735625769294814
2024-07-21,manifold,3wRmZN5B5UypDistmDUA,0.89,1.0,0.822917839535599,0.012099999999999998,0.03135809155473985
2024-07-21,manifold,4puVWhIkvQiHnTxbH4NL,0.9357811764,0.0,0.935781176447798,0.8756864101045679,0.8756864101940249
2024-07-21,manifold,5PBiCM7mofSHR55eoXkP,0.6892220483,0.0,0.6892220483084771,0.47502703186284756,0.47502703187453277
2024-07-21,manifold,AM1axfn3jAan7o8XYSfW,0.6140838948,0.0,0.6140838948325991,0.3770990298527375,0.3770990298927746
2024-07-21,manifold,AXdiGoQlSHAH9vzCVAN1,0.0624493523,0.0,0.076234350306443,0.003899921602689515,0.0058116761666454665
